"time","Mass.s","Mass.v","der(Mass.s)","der(Mass.v)","Mass.a","Mass.flange_a.s","Mass.flange_b.f","Mass.flange_b.s","Spring.f","Spring.s_rel","Fixed.flange.f","Mass.flange_a.f","Spring.flange_a.f","Spring.flange_b.f","Spring.flange_b.s"
0.08,0.1615118434840144,2.036779030638414,2.036779030638414,0.4192440782579928,0.4192440782579928,-0.8384881565159856,0,1.161511843484014,-0.8384881565159856,-0.8384881565159856,-0.8384881565159856,0.8384881565159856,0.8384881565159856,-0.8384881565159856,-0.8384881565159856
0.082,0.1655862320620595,2.037615482199515,2.037615482199515,0.4172068839689703,0.4172068839689703,-0.8344137679379405,0,1.16558623206206,-0.8344137679379405,-0.8344137679379405,-0.8344137679379405,0.8344137679379405,0.8344137679379405,-0.8344137679379405,-0.8344137679379405
0.08400000000000001,0.1696622849716655,2.038447858147686,2.038447858147686,0.4151688575141673,0.4151688575141673,-0.8303377150283345,0,1.169662284971666,-0.8303377150283345,-0.8303377150283345,-0.8303377150283345,0.8303377150283345,0.8303377150283345,-0.8303377150283345,-0.8303377150283345
0.08599999999999999,0.173740003546015,2.039276158301639,2.039276158301639,0.4131299982269925,0.4131299982269925,-0.826259996453985,0,1.173740003546015,-0.826259996453985,-0.826259996453985,-0.826259996453985,0.826259996453985,0.826259996453985,-0.826259996453985,-0.826259996453985
0.08799999999999999,0.1778193796512374,2.040100380927213,2.040100380927213,0.4110903101743813,0.4110903101743813,-0.8221806203487626,0,1.177819379651237,-0.8221806203487626,-0.8221806203487626,-0.8221806203487626,0.8221806203487626,0.8221806203487626,-0.8221806203487626,-0.8221806203487626
0.09,0.1819004051534618,2.040920524290246,2.040920524290246,0.4090497974232691,0.4090497974232691,-0.8180995948465382,0,1.181900405153462,-0.8180995948465382,-0.8180995948465382,-0.8180995948465382,0.8180995948465382,0.8180995948465382,-0.8180995948465382,-0.8180995948465382
0.092,0.1859830719188178,2.041736586656579,2.041736586656579,0.4070084640405911,0.4070084640405911,-0.8140169280811822,0,1.185983071918818,-0.8140169280811822,-0.8140169280811822,-0.8140169280811822,0.8140169280811822,0.8140169280811822,-0.8140169280811822,-0.8140169280811822
0.094,0.1900673718134345,2.042548566292052,2.042548566292052,0.4049663140932828,0.4049663140932828,-0.8099326281865655,0,1.190067371813434,-0.8099326281865655,-0.8099326281865655,-0.8099326281865655,0.8099326281865655,0.8099326281865655,-0.8099326281865655,-0.8099326281865655
0.096,0.1941532967034413,2.043356461462504,2.043356461462504,0.4029233516482794,0.4029233516482794,-0.8058467032965587,0,1.194153296703441,-0.8058467032965587,-0.8058467032965587,-0.8058467032965587,0.8058467032965587,0.8058467032965587,-0.8058467032965587,-0.8058467032965587
0.098,0.1982408384549675,2.044160270433774,2.044160270433774,0.4008795807725163,0.4008795807725163,-0.8017591615450326,0,1.198240838454967,-0.8017591615450326,-0.8017591615450326,-0.8017591615450326,0.8017591615450326,0.8017591615450326,-0.8017591615450326,-0.8017591615450326
0.1,0.2023299889341424,2.044959991471702,2.044959991471702,0.3988350055329288,0.3988350055329288,-0.7976700110658576,0,1.202329988934142,-0.7976700110658576,-0.7976700110658576,-0.7976700110658576,0.7976700110658576,0.7976700110658576,-0.7976700110658576,-0.7976700110658576
0.102,0.2064207400070953,2.045755622842127,2.045755622842127,0.3967896299964523,0.3967896299964523,-0.7935792599929047,0,1.206420740007095,-0.7935792599929047,-0.7935792599929047,-0.7935792599929047,0.7935792599929047,0.7935792599929047,-0.7935792599929047,-0.7935792599929047
0.104,0.2105130828375481,2.046547162847146,2.046547162847146,0.3947434585812259,0.3947434585812259,-0.7894869171624519,0,1.210513082837548,-0.7894869171624519,-0.7894869171624519,-0.7894869171624519,0.7894869171624519,0.7894869171624519,-0.7894869171624519,-0.7894869171624519
0.106,0.2146069935544568,2.047334610564903,2.047334610564903,0.3926965032227716,0.3926965032227716,-0.7853930064455432,0,1.214606993554457,-0.7853930064455432,-0.7853930064455432,-0.7853930064455432,0.7853930064455432,0.7853930064455432,-0.7853930064455432,-0.7853930064455432
0.108,0.2187024762256412,2.048117963631422,2.048117963631422,0.3906487618871795,0.3906487618871795,-0.7812975237743589,0,1.218702476225641,-0.7812975237743589,-0.7812975237743589,-0.7812975237743589,0.7812975237743589,0.7812975237743589,-0.7812975237743589,-0.7812975237743589
0.11,0.222799522380674,2.048897220329915,2.048897220329915,0.388600238809663,0.388600238809663,-0.777200477619326,0,1.222799522380674,-0.777200477619326,-0.777200477619326,-0.777200477619326,0.777200477619326,0.777200477619326,-0.777200477619326,-0.777200477619326
0.112,0.2268981235491281,2.049672378943596,2.049672378943596,0.386550938225436,0.386550938225436,-0.7731018764508719,0,1.226898123549128,-0.7731018764508719,-0.7731018764508719,-0.7731018764508719,0.7731018764508719,0.7731018764508719,-0.7731018764508719,-0.7731018764508719
0.114,0.230998271260576,2.050443437755674,2.050443437755674,0.384500864369712,0.384500864369712,-0.769001728739424,0,1.230998271260576,-0.769001728739424,-0.769001728739424,-0.769001728739424,0.769001728739424,0.769001728739424,-0.769001728739424,-0.769001728739424
0.116,0.2350999570445905,2.051210395049361,2.051210395049361,0.3824500214777047,0.3824500214777047,-0.7649000429554095,0,1.235099957044591,-0.7649000429554095,-0.7649000429554095,-0.7649000429554095,0.7649000429554095,0.7649000429554095,-0.7649000429554095,-0.7649000429554095
0.118,0.2392031724307442,2.05197324910787,2.05197324910787,0.3803984137846279,0.3803984137846279,-0.7607968275692558,0,1.239203172430744,-0.7607968275692558,-0.7607968275692558,-0.7607968275692558,0.7607968275692558,0.7607968275692558,-0.7607968275692558,-0.7607968275692558
0.12,0.24330790894861,2.05273199821441,2.05273199821441,0.378346045525695,0.378346045525695,-0.75669209105139,0,1.24330790894861,-0.75669209105139,-0.75669209105139,-0.75669209105139,0.75669209105139,0.75669209105139,-0.75669209105139,-0.75669209105139
0.122,0.2474141581277604,2.053486640652195,2.053486640652195,0.3762929209361198,0.3762929209361198,-0.7525858418722396,0,1.24741415812776,-0.7525858418722396,-0.7525858418722396,-0.7525858418722396,0.7525858418722396,0.7525858418722396,-0.7525858418722396,-0.7525858418722396
0.124,0.2515219114977681,2.054237174704435,2.054237174704435,0.3742390442511159,0.3742390442511159,-0.7484780885022319,0,1.251521911497768,-0.7484780885022319,-0.7484780885022319,-0.7484780885022319,0.7484780885022319,0.7484780885022319,-0.7484780885022319,-0.7484780885022319
0.126,0.255631160588206,2.054983598654343,2.054983598654343,0.372184419705897,0.372184419705897,-0.744368839411794,0,1.255631160588206,-0.744368839411794,-0.744368839411794,-0.744368839411794,0.744368839411794,0.744368839411794,-0.744368839411794,-0.744368839411794
0.128,0.2597418975328616,2.055725913850866,2.055725913850866,0.3701290512335692,0.3701290512335692,-0.7402581024671384,0,1.259741897532862,-0.7402581024671384,-0.7402581024671384,-0.7402581024671384,0.7402581024671384,0.7402581024671384,-0.7402581024671384,-0.7402581024671384
0.13,0.2638541140909885,2.056464119742596,2.056464119742596,0.3680729429545058,0.3680729429545058,-0.7361458859090115,0,1.263854114090988,-0.7361458859090115,-0.7361458859090115,-0.7361458859090115,0.7361458859090115,0.7361458859090115,-0.7361458859090115,-0.7361458859090115
0.132,0.267967801290133,2.057198212065507,2.057198212065507,0.3660160993549335,0.3660160993549335,-0.732032198709867,0,1.267967801290133,-0.732032198709867,-0.732032198709867,-0.732032198709867,0.732032198709867,0.732032198709867,-0.732032198709867,-0.732032198709867
0.134,0.2720829506853049,2.057928189231874,2.057928189231874,0.3639585246573476,0.3639585246573476,-0.7279170493146951,0,1.272082950685305,-0.7279170493146951,-0.7279170493146951,-0.7279170493146951,0.7279170493146951,0.7279170493146951,-0.7279170493146951,-0.7279170493146951
0.136,0.2761995538315141,2.058654049653975,2.058654049653975,0.361900223084243,0.361900223084243,-0.7238004461684859,0,1.276199553831514,-0.7238004461684859,-0.7238004461684859,-0.7238004461684859,0.7238004461684859,0.7238004461684859,-0.7238004461684859,-0.7238004461684859
0.138,0.2803176022837703,2.059375791744088,2.059375791744088,0.3598411988581148,0.3598411988581148,-0.7196823977162297,0,1.28031760228377,-0.7196823977162297,-0.7196823977162297,-0.7196823977162297,0.7196823977162297,0.7196823977162297,-0.7196823977162297,-0.7196823977162297
0.14,0.2844370875970832,2.06009341391449,2.06009341391449,0.3577814562014584,0.3577814562014584,-0.7155629124029168,0,1.284437087597083,-0.7155629124029168,-0.7155629124029168,-0.7155629124029168,0.7155629124029168,0.7155629124029168,-0.7155629124029168,-0.7155629124029168
0.142,0.2885580013264626,2.060806914577458,2.060806914577458,0.3557209993367687,0.3557209993367687,-0.7114419986735374,0,1.288558001326463,-0.7114419986735374,-0.7114419986735374,-0.7114419986735374,0.7114419986735374,0.7114419986735374,-0.7114419986735374,-0.7114419986735374
0.144,0.2926803350269183,2.061516292145268,2.061516292145268,0.3536598324865409,0.3536598324865409,-0.7073196649730817,0,1.292680335026918,-0.7073196649730817,-0.7073196649730817,-0.7073196649730817,0.7073196649730817,0.7073196649730817,-0.7073196649730817,-0.7073196649730817
0.146,0.2968040802534602,2.062221545030198,2.062221545030198,0.3515979598732699,0.3515979598732699,-0.7031959197465398,0,1.29680408025346,-0.7031959197465398,-0.7031959197465398,-0.7031959197465398,0.7031959197465398,0.7031959197465398,-0.7031959197465398,-0.7031959197465398
0.148,0.3009292285610977,2.062922671644525,2.062922671644525,0.3495353857194511,0.3495353857194511,-0.6990707714389023,0,1.300929228561098,-0.6990707714389023,-0.6990707714389023,-0.6990707714389023,0.6990707714389023,0.6990707714389023,-0.6990707714389023,-0.6990707714389023
0.15,0.3050557715048409,2.063619670400526,2.063619670400526,0.3474721142475795,0.3474721142475795,-0.694944228495159,0,1.305055771504841,-0.694944228495159,-0.694944228495159,-0.694944228495159,0.694944228495159,0.694944228495159,-0.694944228495159,-0.694944228495159
0.152,0.3091837137275641,2.064312552522972,2.064312552522972,0.3454081431362179,0.3454081431362179,-0.6908162862724359,0,1.309183713727564,-0.6908162862724359,-0.6908162862724359,-0.6908162862724359,0.6908162862724359,0.6908162862724359,-0.6908162862724359,-0.6908162862724359
0.154,0.3133130376394045,2.065001307471678,2.065001307471678,0.3433434811802978,0.3433434811802978,-0.6866869623605956,0,1.313313037639404,-0.6866869623605956,-0.6866869623605956,-0.6866869623605956,0.6866869623605956,0.6866869623605956,-0.6866869623605956,-0.6866869623605956
0.156,0.3174437345405666,2.065685933409475,2.065685933409475,0.3412781327297167,0.3412781327297167,-0.6825562654594334,0,1.317443734540567,-0.6825562654594334,-0.6825562654594334,-0.6825562654594334,0.6825562654594334,0.6825562654594334,-0.6825562654594334,-0.6825562654594334
0.158,0.3215757962592298,2.066366429016063,2.066366429016063,0.3392121018703851,0.3392121018703851,-0.6784242037407702,0,1.32157579625923,-0.6784242037407702,-0.6784242037407702,-0.6784242037407702,0.6784242037407702,0.6784242037407702,-0.6784242037407702,-0.6784242037407702
0.16,0.3257092146235727,2.067042792971142,2.067042792971142,0.3371453926882136,0.3371453926882136,-0.6742907853764273,0,1.325709214623573,-0.6742907853764273,-0.6742907853764273,-0.6742907853764273,0.6742907853764273,0.6742907853764273,-0.6742907853764273,-0.6742907853764273
0.162,0.3298439814617747,2.06771502395441,2.06771502395441,0.3350780092691126,0.3350780092691126,-0.6701560185382253,0,1.329843981461775,-0.6701560185382253,-0.6701560185382253,-0.6701560185382253,0.6701560185382253,0.6701560185382253,-0.6701560185382253,-0.6701560185382253
0.164,0.3339800886020147,2.068383120645565,2.068383120645565,0.3330099556989927,0.3330099556989927,-0.6660199113979853,0,1.333980088602015,-0.6660199113979853,-0.6660199113979853,-0.6660199113979853,0.6660199113979853,0.6660199113979853,-0.6660199113979853,-0.6660199113979853
0.166,0.3381175278724718,2.069047081724308,2.069047081724308,0.3309412360637641,0.3309412360637641,-0.6618824721275283,0,1.338117527872472,-0.6618824721275283,-0.6618824721275283,-0.6618824721275283,0.6618824721275283,0.6618824721275283,-0.6618824721275283,-0.6618824721275283
0.168,0.3422562911013249,2.069706905870335,2.069706905870335,0.3288718544493375,0.3288718544493375,-0.6577437088986751,0,1.342256291101325,-0.6577437088986751,-0.6577437088986751,-0.6577437088986751,0.6577437088986751,0.6577437088986751,-0.6577437088986751,-0.6577437088986751
0.17,0.3463963701167534,2.070362591763347,2.070362591763347,0.3268018149416233,0.3268018149416233,-0.6536036298832466,0,1.346396370116753,-0.6536036298832466,-0.6536036298832466,-0.6536036298832466,0.6536036298832466,0.6536036298832466,-0.6536036298832466,-0.6536036298832466
